# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: ant.far.MyBenchmark.insertIntoTreeSet

# Run progress: 0.00% complete, ETA 00:30:00
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 2.646 ops/s
# Warmup Iteration   2: 2.831 ops/s
# Warmup Iteration   3: 2.915 ops/s
# Warmup Iteration   4: 2.797 ops/s
# Warmup Iteration   5: 2.904 ops/s
Iteration   1: 2.911 ops/s
Iteration   2: 2.893 ops/s
Iteration   3: 2.853 ops/s
Iteration   4: 2.890 ops/s
Iteration   5: 2.909 ops/s
Iteration   6: 2.914 ops/s
Iteration   7: 2.927 ops/s
Iteration   8: 2.917 ops/s
Iteration   9: 2.910 ops/s
Iteration  10: 2.922 ops/s

# Run progress: 8.33% complete, ETA 00:28:09
# Fork: 1 of 1
# Warmup Iteration   1: 2.769 ops/s
# Warmup Iteration   2: 2.686 ops/s
# Warmup Iteration   3: 2.920 ops/s
# Warmup Iteration   4: 2.541 ops/s
# Warmup Iteration   5: 2.619 ops/s
Iteration   1: 2.573 ops/s
Iteration   2: 2.625 ops/s
Iteration   3: 2.690 ops/s
Iteration   4: 2.817 ops/s
Iteration   5: 2.732 ops/s
Iteration   6: 2.711 ops/s
Iteration   7: 2.728 ops/s
Iteration   8: 2.768 ops/s
Iteration   9: 2.734 ops/s
Iteration  10: 2.819 ops/s


Result "ant.far.MyBenchmark.insertIntoTreeSet":
  2.720 ±(99.9%) 0.117 ops/s [Average]
  (min, avg, max) = (2.573, 2.720, 2.819), stdev = 0.077
  CI (99.9%): [2.603, 2.837] (assumes normal distribution)


# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: ant.far.MyBenchmark.sortTreeSet

# Run progress: 16.67% complete, ETA 00:25:34
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 439265886.854 ops/s
# Warmup Iteration   2: 441909452.690 ops/s
# Warmup Iteration   3: 448600257.274 ops/s
# Warmup Iteration   4: 441080858.318 ops/s
# Warmup Iteration   5: 443840800.162 ops/s
Iteration   1: 450220968.388 ops/s
Iteration   2: 452545646.089 ops/s
Iteration   3: 447353800.827 ops/s
Iteration   4: 449106423.812 ops/s
Iteration   5: 448391774.805 ops/s
Iteration   6: 445819196.720 ops/s
Iteration   7: 434840661.213 ops/s
Iteration   8: 442159298.241 ops/s
Iteration   9: 428807218.259 ops/s
Iteration  10: 442578628.016 ops/s

# Run progress: 25.00% complete, ETA 00:22:52
# Fork: 1 of 1
# Warmup Iteration   1: 490123592.379 ops/s
# Warmup Iteration   2: 502416302.370 ops/s
# Warmup Iteration   3: 547643704.056 ops/s
# Warmup Iteration   4: 548564741.628 ops/s
# Warmup Iteration   5: 542802107.596 ops/s
Iteration   1: 552072076.901 ops/s
Iteration   2: 554460471.825 ops/s
Iteration   3: 541812683.726 ops/s
Iteration   4: 537179879.799 ops/s
Iteration   5: 532393979.386 ops/s
Iteration   6: 546717319.092 ops/s
Iteration   7: 553321045.367 ops/s
Iteration   8: 546925021.587 ops/s
